Sample	value
100C	0.1
101C	0.46
102C	0.38
103C	0.34
10C	0.37
11C	1.07
12C	0.07
13C	0.4
14C	0.83
15C	0.26
16C	0.27
17C	4.66
18C	0.8
19C	0.5
1C	13.81
202C	44.07
203C	0.14
204C	1.1
205C	0.33
206C	0.63
207C	0.29
208C	0.29
20C	1.36
210C	0.92
211C	0.63
212C	0.23
213C	0.14
214C	0.7
215C	0.25
216C	0.82
217C	0.81
218C	0.93
219C	0.45
21C	0.47
220C	0.85
221C	1.26
222C	0.43
223C	1.01
224C	0.35
225C	0.26
226C	0.22
227C	2.13
228C	0.44
229C	0.15
22C	0.42
230C	0.67
231C	0.2
232C	0.29
233C	0.5
234C	0.3
235C	0.8
236C	0.67
237C	4.06
238C	0.28
239C	0.16
23C	0.16
240C	0.12
241C	0.17
242C	2.54
243C	0.96
244C	1.61
245C	2.24
246C	0.62
247C	2.09
248C	13.01
249C	0.52
24C	0.92
250C	0.28
251C	0.27
252C	0.13
253C	0.06
254C	1.22
255C	0.28
256C	0.48
257C	0.48
258C	0.86
259C	0.4
25C	0.23
260C	0.07
261C	0.26
262C	1.23
263C	3.67
264C	0.1
265C	0.88
266C	1.55
267C	2.23
268C	0.14
269C	0.11
26C	1.13
270C	1.4
271C	0.17
272C	1.92
273C	0.31
274C	0.56
275C	0.08
276C	0.44
278C	1.41
279C	0.68
27C	0.22
280C	0.57
281C	0.79
282C	0.48
283C	0.47
284C	0.13
285C	0.31
286C	1.28
287C	3.35
288C	0.53
289C	0.34
28C	0.24
290C	0.2
291C	0.33
292C	10.63
293C	2.6
294C	0.59
295C	0.16
296C	0.29
297C	0.92
298C	0.04
299C	0.87
29C	0.27
2C	0.08
300C	0.1
301C	0.82
302C	0.49
303C	0.19
304C	0.18
30C	0.53
31C	0.1
32C	0.26
33C	0.32
34C	0.1
35C	0.17
36C	0.08
37C	0.09
38C	0.33
3C	0.48
40C	3.4
41C	0.12
42C	0.13
43C	0.12
44C	0.09
45C	0.18
46C	0.07
47C	0.2
48C	0.66
49C	0.7
4C	2.19
50C	c
51C	0.42
52C	0.12
53C	0.17
54C	0.74
55C	0.53
56C	0.36
57C	0.08
58C	0.93
59C	1.61
5C	0.12
60C	0.35
61C	0.87
62C	0.28
63C	0.13
64C	5.5
65C	0.16
66C	2.26
67C	0.77
68C	3.43
69C	0.29
6C	0.67
70C	0.56
71C	5.5
72C	0.09
73C	0.67
74C	0.46
75C	0.67
76C	0.66
77C	1.45
78C	0.61
79C	0.21
7C	0.29
80C	0.18
81C	0.09
82C	0.41
83C	0.18
84C	0.17
85C	0.42
86C	0.34
87C	0.41
88C	2.1
89C	0.11
8C	0.29
90C	0.07
91C	0.06
92C	0.73
93C	1.04
94C	1.25
95C	0.91
96C	0.56
97C	0.13
98C	0.34
99C	0.03
